Parámetro,Valor
Frecuencia principal (c/d),40.008891
Período principal (días),0.024994
Período principal (horas),0.600
Amplitud principal (mag),0.009917
Señal a Ruido (S/N),9.40
Probabilidad real (%),100.0000
Tipo de estrella,Binaria Eclipsante o δ Scuti de baja amplitud
Número de observaciones,1646
Reducción de varianza (%),8.14
RMS residuos (mag),0.033544
