Parameter,Mean,Std,Central
f1,5.84779549471759,0.006084849384582404,5.8346
P1,0.17100479718475597,0.00017790965868788925,0.1713913550200528
A1,0.19068310788481335,0.0002811234793452438,0.1909
phi1,0.8015788685775556,0.004032076400843617,0.8113
f2,19.726474385998415,0.0005585943792578803,19.7266
P2,0.05069329578283065,1.435478404854862e-06,0.05069297294009104
A2,1.459318830683397,0.00028877546222969583,1.4589
phi2,0.34662490735647955,0.00036191909727237905,0.3464
m0,-0.000419703680132961,0.0002429050089292332,0.0
