Parameter,Mean,Std,Target
f1,5.599365933353989,1.2192170031135312,5.8346
f2,20.21476350218578,1.598450554056879,19.7266
P1,0.1840985683451472,0.025877670272453038,0.1713913550200528
P2,0.04970338026993395,0.0029672210955413317,0.05069297294009104
A1,0.004161819618413436,0.0006985691591592022,
A2,-0.008402688865560018,0.004802508821357665,
